Κυνικός	doglike
φᾶσι	unstressed,form
θήλεια	feminine,dative,singular
παλαιτάτης	feminine,dative,singular,tos
consumptio	the,amount,consumed
declamabat	third,person,singular,future,active,indicative
detractus	detractor,disparager
parus	sharpen,pencil
contemplant	observing
informo	deformed
alchemista	alchemy
θερμήν	feminine,genitive,singular,therm
evangelium	the,process,evangelizing
λοιποῖν	masculine,neuter,dative,plural,loip
appeto	second,person,singular,future,passive,indicative,appet,first
αὐτοπαθής	compact,thick,earth
alienabant	third,person,plural,pluperfect,active,indicative,ali
pallidipes	pale,headed
μελλουσα	feminine,nominative,vocative,plural
ai	abbreviation,angiotensin
καταλυθεῖσαν	feminine,genitive,plural,kataluthe
εικυια	feminine,accusative,singular,eik
ducendus	inflection,cendus,genitive,masculine,neuter,singular
amputaveram	third,person,singular,pluperfect,active,indicative,amput
suffuratus	filching
προτεραι	feminine,dative,singular,protera
se	abbreviation,southeast
pull	darling
RAM	rancid
tumidus	cause,swell
lama	master,tibetan,buddhism
hold	friendly
deus	having,misused
bea	male,lover
perridicule	very,ridiculous,hilarious
abnodabant	third,person,plural,future,active,indicative,abn
κόνις	nit,egg,flea,louse
satus	founder
laureled	highly,honored
begus	daub,cover,with,gum
dulces	third,person,singular,present,active,subjunctive,dulc
expostulatus	demanding
angulaberis	first,person,singular,perfect,active,subjunctive,angul
ablegabis	first,person,plural,future,active,indicative,abl
abstergere	inflection,absterre,present,active,infinitive
cassus	first,person,singular,perfect,active,indicative,cass
dilecti	love
yfel	badly
habitualis	habit
addensabo	first,person,singular,future,passive,indicative,add
cures	first,person,singular,present,passive,subjunctive,inflection,genitive
pet	make,for,somewhere
interdictus	interdictum
interventor	mediation,assistance
annoder	second,person,singular,present,passive,subjunctive,ann
argentarius	banker,stall
deduce	take,away,something
ἀασάμενος	first,person,plural,aorist,active,indicative
παυσθείην	third,person,singular,aorist,passive,optative
δικαιοτάταις	feminine,genitive,dative,dual,kai,tos
exornaturus	equipped
γλυκερός	masculine,neuter,dative,singular,gluker
litus	lightweight
consimilis	compare
adiurator	swearing,oath
angel	angel
overshoot	overshot,water,wheel
φιλε	inflection,los,dative,singular,contracted
παυσθεῖτε	second,person,plural,aorist,passive,optative
φησουσι	third,person,plural,future,active,indicative
diffamabis	first,person,singular,future,active,indicative,diff
congregatis	swarmed
βαρει	feminine,genitive,plural
ψιλή	feminine,dative,singular
pentagon	pentaphyllon,cinquefoil
cuppa	cup
clivi	inauspicious,ominous
vulpinus	pertaining,fox
confutatus	refuter
circumteneo	sit,around,surround,encompass
παραμεῖναι	aorist,active,participle,param
absis	second,person,singular,present,active,subjunctive,absum,uncultivated
λέγοντας	masculine,neuter,genitive,singular
acclaraturus	revealed
φωνηέσσας	feminine,genitive,singular,eis
πανδοῦρα	inflection,ndo,genitive,singular
δεησουσι	third,person,plural,future,active,indicative
auscultaberis	second,person,plural,perfect,active,subjunctive,auscult
μεγίστη	masculine,vocative,singular,stos
productus	throw,before,interpose
cales	first,person,singular,present,active,subjunctive,cal
deturpa	disfigure
ceror	second,person,singular,present,active,subjunctive
exinanitus	draining
dimoveo	removing
πλεούσας	feminine,genitive,singular
ταχίστην	feminine,dative,singular,stos
balbus	stammer,stutter
sponsor	bethrothed
demonstrativus	demonstrative,pronoun
faenum	interest,capital
confundes	pour,mingle,stir
certa	wrestling
irretiturus	entangled
debiturum	about,owe
inruturus	invaded
deauraretis	second,person,singular,perfect,active,subjunctive,deaur
cogitabatis	third,person,singular,imperfect,passive,indicative,git
derogabis	second,person,plural,imperfect,active,indicative,rog
mimor	commemorate
delerem	first,person,plural,imperfect,active,subjunctive
acumino	inflection,min,present,active,infinitive
carptus	criticizer
gerisen	what,fitting
interlitus	falsifying
glut	tenacious,well,tempered
dispenso	dispense,distribute
stipes	cram,stuff,fill
πετεηνοι	masculine,neuter,genitive,dative,dual,pete
magistra	teach,train
ace	second,person,singular,present,active,imperative,ace
abbacinatus	second,person,plural,present,active,imperative,abbacin
bid	wait
condiebam	first,person,singular,imperfect,passive,indicative,condi
geseten	past,participle,settan
gestus	bear,carry,deeds,acts,achievements
πεπονθυῖαν	feminine,genitive,plural,peponth
copulaberis	first,person,singular,perfect,active,subjunctive,pul
abiurga	denying
delineavistis	second,person,singular,perfect,active,indicative
perfidiosus	treacherous
diligebat	second,person,plural,imperfect,active,indicative,lig
θερμαί	feminine,accusative,plural,therm
algus	inflection,alga,nominative,vocative,plural
credas	third,person,singular,present,active,subjunctive
flamma	redden
ταχει	feminine,dative,plural
dilexisti	second,person,plural,perfect,active,indicative,lig
defensurus	inflection,rus,accusative,masculine,singular
belligerator	waged,war
amare	third,person,plural,imperfect,active,subjunctive
δομένῃ	feminine,aorist,middle,participle
ver	spring,season
ποτέροις	masculine,nominative,vocative,plural,teros
daretis	third,person,singular,imperfect,passive,subjunctive
κοίλαιν	feminine,dative,plural,los
aspiraveris	first,person,plural,perfect,active,subjunctive,asp
inconsultus	unusual
existimatus	judge,critic
basiavissent	third,person,singular,pluperfect,active,subjunctive
barbaria	non,greek,roman,citizen
pons	bridge,like,tissue,connecting,two,parts,organ
dispersurus	scattered,about,dispersed
condonabis	second,person,plural,imperfect,passive,indicative,cond
accordance	accordance
σεμνη	feminine,accusative,singular,semn
doctum	having,been,rehearsed,presented,stage
educati	education
aequabilis	equality,uniformity,equability
absurditas	dissonance
egeris	first,person,singular,perfect,active,subjunctive
θελγόμενος	feminine,present,mediopassive,participle
promulgatio	publish,promulgate
ψιλόν	doric,form,lon,feather
evirabaris	second,person,singular,future,passive,indicative,vir
dissentient	dissenting
τεθνηκυια	feminine,accusative,singular,tethn
πραχθεῖσιν	masculine,neuter,dative,plural,khthe
σῳζούσαις	feminine,accusative,plural
καλλιγραφέω	calligraphy,beautiful,writing
rideo	knight
contribuo	second,person,singular,future,active,indicative,contribu
κατά	byzantine,spelling,tta
μεσε	feminine,genitive,plural,sos
παυθησόμενος	neuter,future,passive,participle
transluceo	translucent,transparent
wa	woe,ill
applicant	applying,attaching
ear	ear,organ,hearing
miles	any,similarly,large,distance
robus	hardness
acanthophorous	having,spiny,head,one,the,acanthocephala
disgregare	second,person,plural,present,active,imperative,disgreg
ματη	idly,falsely
verisimilitude	true,likeness
damus	woman
funda	securing,making,firm
iuvencus	young,person
bera	barley
brocc	inflection,broccus,nominative,vocative,plural
toro	bulge,knot
LOL	alternative,letter,case,form,lol
amem	first,person,plural,present,active,subjunctive
dirigitis	third,person,singular,present,passive,indicative,rig
commissio	shirt,chemise,mixture
desiderabant	third,person,plural,imperfect,passive,indicative,der
gracilitas	unadorned,simple
Ph.D.	person,who,holds,degree
copulabis	second,person,plural,imperfect,passive,indicative,pul
allusus	first,person,singular,perfect,active,indicative,all
reprehensibilis	blameworthy,censurable,guilty
densentur	third,person,plural,present,active,subjunctive
νεκρά	feminine,dative,singular,nekr
curaturus	treatment,care,attention
λαμβανούσαις	feminine,accusative,plural
cenaturus	inflection,rus,genitive,dative,feminine,singular
divus	talented
but	button
colaveris	first,person,plural,pluperfect,active,indicative
blatera	babbling
floreus	froth
sil	lava
constabis	second,person,plural,imperfect,active,indicative,nst
fatuus	talk,foolishly
oversleep	simple,past,and,participle,oversleep
devoras	second,person,singular,imperfect,active,indicative,vor
index	inscription
diht	dictate,direct
carbon	carbon
visor	idea,mental,image,appearance
castiganto	third,person,plural,future,passive,imperative,cast
vagor	undecided,fickle
gecynd	natural
παλαιότατος	comparative,degree,lai
erres	hesitate,vacillate
δειναι	feminine,genitive,dative,dual,dein
apparent	third,person,plural,future,active,imperative,app
βαρεῶν	masculine,neuter,genitive,plural
dehisces	second,person,singular,present,active,imperative,deh
adornabamini	second,person,plural,imperfect,passive,subjunctive
devicturus	defeated
cadmium	dross,any,furnace,slag
χεουσα	feminine,accusative,singular
araret	second,person,plural,imperfect,active,subjunctive
aurificina	gold,washing,site
μαλακή	feminine,dative,singular
afremdung	alienate,estrange
βλάψας	inflection,aorist,active,infinitive
americanus	custom,peculiar,the,united,states,americans
rr	abbreviation,rear,where,brevity,desired
denomino	inflection,min,present,active,infinitive,second,person,singular
κινηθείσης	feminine,accusative,plural,the
carus	sedge
κύοντα	masculine,neuter,dative,singular
exaestuaturus	fermented
lain	kind,mastic
αἰθούσης	feminine,dative,singular
discides	cut,pieces,separation,divorce
candeo	shining,glittering
libra	especially,the,will,free,independent,unconstrained
critici	critical,decisive
ratis	established,authoritative
παύσοιμεν	first,person,plural,middle,future,optative
circula	rounding
